Attendance Date			01-Oct-2025,SNo,E. Code, InTime, OutTime,,Work Dur.,OT,Tot.  Dur.,Status,,Remarks
,104,MS5958,09:02:25,19:13:29,,9:00,1:11,10:11,Present ,,
,105,MS6004,08:25:28,15:29:42,,7:04,00:00,7:04,Present ,,
,106,MS6183,08:58:31,14:42:26,,5:44,00:00,5:44,Present ,,
,107,MS6228,08:55:41,11:34:29,,2:39,00:00,2:39, ½Present ,,
,108,MS6238,08:57:43,19:10:46,,9:00,1:13,10:13,Present ,,
,109,MS6239,09:02:26,19:13:33,,9:00,1:11,10:11,Present ,,
,110,MS6312,11:26:20,,,7:04,00:00,7:04,Present  (No OutPunch),,
,111,MS6321,09:02:48,16:02:53,,7:00,00:00,7:00,Present ,,
,112,MS6324,09:07:33,17:03:59,,7:56,00:00,7:56,Present ,,
,113,MS6346,11:31:26,,,6:59,00:00,6:59,Present  (No OutPunch),,
,114,MS6414,08:58:58,19:13:33,,9:00,1:15,10:15,Present ,,
,115,MS6444,,,,00:00,00:00,00:00,Absent,,
,116,MS6498,19:16:40,,,1:14,00:00,1:14,Absent (No OutPunch),,
,117,MS6548,11:31:19,,,6:59,00:00,6:59,Present  (No OutPunch),,
,118,MS6656,11:27:54,,,7:03,00:00,7:03,Present  (No OutPunch),,
,119,MS6658,08:47:37,14:33:41,,5:46,00:00,5:46,Present ,,
,120,MS6676,11:15:38,13:48:21,,2:33,00:00,2:33, ½Present ,,
,121,MS6766,11:26:32,,,7:04,00:00,7:04,Present  (No OutPunch),,
,122,MS6811,,,,00:00,00:00,00:00,Absent,,
,123,MS6876,08:58:33,13:41:22,,4:43,00:00,4:43,Present ,,
,124,MS6883,08:58:08,,,9:00,00:32,9:32,Present  (No OutPunch),,
,125,MS7111,11:30:21,,,7:00,00:00,7:00,Present  (No OutPunch),,
,126,MS7239,08:52:16,,,9:00,00:38,9:38,Present  (No OutPunch),,
,127,MS7396,09:02:30,14:42:10,,5:40,00:00,5:40,Present ,,
,128,MS7443,11:26:07,19:11:26,,7:45,00:00,7:45,Present ,,
,129,MS7734,11:34:39,,,6:56,00:00,6:56,Present  (No OutPunch),,
,130,MS7751,09:02:28,13:42:59,,4:40,00:00,4:40,Present ,,
,131,MS7754,09:02:30,14:43:13,,5:41,00:00,5:41,Present ,,
,132,MS7792,11:33:46,,,6:57,00:00,6:57,Present  (No OutPunch),,
,133,MS7916,,,,00:00,00:00,00:00,Absent,,
,134,MS7945,09:00:55,13:43:51,,4:43,00:00,4:43,Present ,,
,135,MS7980,08:59:32,,,9:00,00:31,9:31,Present  (No OutPunch),,
,136,MS8084,11:26:27,,,7:04,00:00,7:04,Present  (No OutPunch),,
,137,MS8256,09:00:58,14:25:31,,5:25,00:00,5:25,Present ,,
,138,MS8259,11:26:23,,,7:04,00:00,7:04,Present  (No OutPunch),,
,139,MS8330,,,,00:00,00:00,00:00,Absent,,
,140,MS8335,,,,00:00,00:00,00:00,Absent,,
,141,MS8500,08:58:11,11:37:57,,2:39,00:00,2:39, ½Present ,,
,142,MS8564,09:11:01,14:37:16,,5:26,00:00,5:26,Present ,,
,,,,,,,,,,,
Attendance Date                        04-Oct-2025                        ,,,,,,,,,,,
,SNo,E. Code, InTime, OutTime,,Work Dur.,OT,Tot.  Dur.,Status,,Remarks
,1,MS3132,15:24:08,,,3:06,00:00,3:06, ½Present  (No OutPunch),,
,2,MS3133,,,,00:00,00:00,00:00,Absent,,
,3,MS3155,11:38:54,16:56:19,,5:18,00:00,5:18,Present ,,
,4,MS3165,15:40:16,,,2:50,00:00,2:50, ½Present  (No OutPunch),,
,5,MS3173,11:35:47,,,6:55,00:00,6:55,Present  (No OutPunch),,
,6,MS3175,12:35:04,18:37:24,,6:02,00:00,6:02,Present ,,
,7,MS3219,08:58:35,,,9:00,00:32,9:32,Present  (No OutPunch),,
,8,MS3241,11:35:13,,,6:55,00:00,6:55,Present  (No OutPunch),,
,9,MS3388,,,,00:00,00:00,00:00,Absent,,
,10,MS3405,,,,00:00,00:00,00:00,Absent,,
,11,MS3414,13:31:37,,,4:59,00:00,4:59,Present  (No OutPunch),,
,12,MS3417,,,,00:00,00:00,00:00,Absent,,
,13,MS3437,09:02:26,15:29:10,,6:27,00:00,6:27,Present ,,
,14,MS3442,09:02:39,,,9:28,00:00,9:28,Present  (No OutPunch),,
,15,MS3449,15:31:09,,,2:59,00:00,2:59, ½Present  (No OutPunch),,
,16,MS3486,09:13:11,15:34:12,,6:21,00:00,6:21,Present ,,
,17,MS3523,,,,00:00,00:00,00:00,Absent,,
,18,MS3528,09:05:33,17:34:42,,8:29,00:00,8:29,Present ,,
,19,MS3545,11:33:33,,,6:57,00:00,6:57,Present  (No OutPunch),,
,20,MS3570,13:29:04,,,5:01,00:00,5:01,Present  (No OutPunch),,
,21,MS3574,15:31:23,,,2:59,00:00,2:59, ½Present  (No OutPunch),,
,22,MS3612,,,,00:00,00:00,00:00,Absent,,
,23,MS3625,,,,00:00,00:00,00:00,Absent,,
,24,MS3629,,,,00:00,00:00,00:00,Absent,,
,25,MS3632,11:35:42,15:31:28,,3:56,00:00,3:56, ½Present ,,
,26,MS3693,11:36:58,16:42:07,,5:06,00:00,5:06,Present ,,
,27,MS3712,,,,00:00,00:00,00:00,Absent,,
,28,MS3754,11:13:55,,,7:17,00:00,7:17,Present  (No OutPunch),,
,29,MS3788,11:19:45,,,7:11,00:00,7:11,Present  (No OutPunch),,
,30,MS3834,09:07:08,,,9:23,00:00,9:23,Present  (No OutPunch),,
,31,MS3860,11:34:41,,,6:56,00:00,6:56,Present  (No OutPunch),,
,32,MS3886,11:07:15,,,7:23,00:00,7:23,Present  (No OutPunch),,
,33,MS3890,11:33:32,,,6:57,00:00,6:57,Present  (No OutPunch),,
,34,MS3894,15:38:39,,,2:52,00:00,2:52, ½Present  (No OutPunch),,
,35,MS3909,11:35:48,,,6:55,00:00,6:55,Present  (No OutPunch),,
,36,MS3914,,,,00:00,00:00,00:00,Absent,,
,37,MS3942,,,,00:00,00:00,00:00,Absent,,
,38,MS3951,,,,00:00,00:00,00:00,Absent,,
,39,MS3952,11:33:54,13:39:23,,2:06,00:00,2:06, ½Present ,,
,40,MS3965,09:02:51,16:49:48,,7:47,00:00,7:47,Present ,,
,41,MS3974,,,,00:00,00:00,00:00,Absent,,
,42,MS4007,11:44:21,18:41:57,,6:57,00:00,6:57,Present ,,
,43,MS4038,11:44:23,,,6:46,00:00,6:46,Present  (No OutPunch),,
,44,MS4088,09:02:47,15:29:04,,6:27,00:00,6:27,Present ,,
,45,MS4090,11:33:36,,,6:57,00:00,6:57,Present  (No OutPunch),,
,46,MS4119,11:36:04,16:41:20,,5:05,00:00,5:05,Present ,,
,47,MS4120,,,,00:00,00:00,00:00,Absent,,
,48,MS4122,11:33:59,,,6:57,00:00,6:57,Present  (No OutPunch),,
,49,MS4157,11:33:27,16:48:17,,5:15,00:00,5:15,Present ,,
,50,MS4168,,,,00:00,00:00,00:00,Absent,,
,51,MS4251,15:44:57,,,2:46,00:00,2:46, ½Present  (No OutPunch),,
,52,MS4260,11:31:38,,,6:59,00:00,6:59,Present  (No OutPunch),,
,53,MS4278,,,,00:00,00:00,00:00,Absent,,
,54,MS4390,15:39:32,,,2:51,00:00,2:51, ½Present  (No OutPunch),,
,55,MS4394,,,,00:00,00:00,00:00,Absent,,
,56,MS4410,15:31:09,,,2:59,00:00,2:59, ½Present  (No OutPunch),,
,57,MS4417,,,,00:00,00:00,00:00,Absent,,
,58,MS4456,10:15:39,16:56:24,,6:41,00:00,6:41,Present ,,
,59,MS4480,09:02:50,11:07:27,,2:05,00:00,2:05, ½Present ,,
,60,MS4531,,,,00:00,00:00,00:00,Absent,,
,61,MS4540,,,,00:00,00:00,00:00,Absent,,
,62,MS4548,,,,00:00,00:00,00:00,Absent,,
,63,MS4571,,,,00:00,00:00,00:00,Absent,,
,64,MS4614,11:35:42,15:43:14,,4:08,00:00,4:08,Present ,,
,65,MS4635,11:31:44,15:29:50,,3:58,00:00,3:58, ½Present ,,
,66,MS4647,09:12:24,,,9:18,00:00,9:18,Present  (No OutPunch),,
,67,MS4744,,,,00:00,00:00,00:00,Absent,,
,68,MS4760,,,,00:00,00:00,00:00,Absent,,
,69,MS4828,,,,00:00,00:00,00:00,Absent,,
,70,MS4835,12:35:07,,,5:55,00:00,5:55,Present  (No OutPunch),,
,71,MS4895,,,,00:00,00:00,00:00,Absent,,
,72,MS4954,09:04:33,15:31:50,,6:27,00:00,6:27,Present ,,
,73,MS4972,,,,00:00,00:00,00:00,Absent,,
,74,MS4988,11:27:01,,,7:03,00:00,7:03,Present  (No OutPunch),,
,75,MS4996,15:11:24,,,3:19,00:00,3:19, ½Present  (No OutPunch),,
,76,MS5012,09:01:22,,,9:29,00:00,9:29,Present  (No OutPunch),,
,77,MS5015,11:33:05,,,6:57,00:00,6:57,Present  (No OutPunch),,
,78,MS5054,11:39:38,15:44:00,,4:05,00:00,4:05,Present ,,
,79,MS5112,14:49:14,,,3:41,00:00,3:41, ½Present  (No OutPunch),,
,80,MS5122,09:27:56,15:43:00,,6:16,00:00,6:16,Present ,,
,81,MS5150,09:02:32,,,9:28,00:00,9:28,Present  (No OutPunch),,
,82,MS5159,09:10:07,,,9:20,00:00,9:20,Present  (No OutPunch),,
,83,MS5169,11:35:46,,,6:55,00:00,6:55,Present  (No OutPunch),,
,84,MS5179,09:06:12,15:34:16,,6:28,00:00,6:28,Present ,,
,85,MS5195,,,,00:00,00:00,00:00,Absent,,
,86,MS5213,11:26:12,16:47:03,,5:21,00:00,5:21,Present ,,
,87,MS5218,11:34:42,,,6:56,00:00,6:56,Present  (No OutPunch),,
,88,MS5281,15:29:45,,,3:01,00:00,3:01, ½Present  (No OutPunch),,
,89,MS5283,11:34:35,,,6:56,00:00,6:56,Present  (No OutPunch),,
,90,MS5317,,,,00:00,00:00,00:00,Absent,,
,91,MS5334,11:34:52,17:12:05,,5:38,00:00,5:38,Present ,,
,92,MS5361,11:13:15,,,7:17,00:00,7:17,Present  (No OutPunch),,
,93,MS5387,,,,00:00,00:00,00:00,Absent,,
,94,MS5480,13:29:20,,,5:01,00:00,5:01,Present  (No OutPunch),,
,95,MS5578,15:31:31,,,2:59,00:00,2:59, ½Present  (No OutPunch),,
,96,MS5605,11:26:23,,,7:04,00:00,7:04,Present  (No OutPunch),,
,97,MS5681,15:40:10,,,2:50,00:00,2:50, ½Present  (No OutPunch),,
,98,MS5741,,,,00:00,00:00,00:00,Absent,,
,99,MS5862,15:32:59,,,2:58,00:00,2:58, ½Present  (No OutPunch),,
,100,MS5882,12:14:55,15:31:07,,3:17,00:00,3:17, ½Present ,,
,101,MS5884,,,,00:00,00:00,00:00,Absent,,
,102,MS5913,11:36:53,,,6:54,00:00,6:54,Present  (No OutPunch),,
,103,MS5934,09:07:16,,,9:23,00:00,9:23,Present  (No OutPunch),,
,104,MS5958,09:02:54,15:34:31,,6:32,00:00,6:32,Present ,,
,105,MS6004,11:26:59,18:10:38,,6:44,00:00,6:44,Present ,,
,106,MS6183,09:10:14,,,9:20,00:00,9:20,Present  (No OutPunch),,
,107,MS6228,11:33:20,15:40:52,,4:07,00:00,4:07,Present ,,
,108,MS6238,15:35:06,,,2:55,00:00,2:55, ½Present  (No OutPunch),,
,109,MS6239,09:02:06,,,9:28,00:00,9:28,Present  (No OutPunch),,
,110,MS6312,11:34:31,,,6:56,00:00,6:56,Present  (No OutPunch),,
,111,MS6321,,,,00:00,00:00,00:00,Absent,,
,112,MS6324,10:01:56,,,8:29,00:00,8:29,Present  (No OutPunch),,
,113,MS6346,11:36:33,17:00:52,,5:24,00:00,5:24,Present ,,
,114,MS6414,15:22:21,,,3:08,00:00,3:08, ½Present  (No OutPunch),,
,115,MS6444,,,,00:00,00:00,00:00,Absent,,
,116,MS6498,09:06:22,,,9:24,00:00,9:24,Present  (No OutPunch),,
,117,MS6548,11:34:56,,,6:56,00:00,6:56,Present  (No OutPunch),,
,118,MS6656,11:38:56,,,6:52,00:00,6:52,Present  (No OutPunch),,
,119,MS6658,15:44:02,,,2:46,00:00,2:46, ½Present  (No OutPunch),,
,120,MS6676,11:33:16,,,6:57,00:00,6:57,Present  (No OutPunch),,
,121,MS6766,,,,00:00,00:00,00:00,Absent,,
,122,MS6811,13:31:41,,,4:59,00:00,4:59,Present  (No OutPunch),,
,123,MS6876,09:02:39,,,9:28,00:00,9:28,Present  (No OutPunch),,
,124,MS6883,11:37:32,,,6:53,00:00,6:53,Present  (No OutPunch),,
,125,MS7111,15:37:33,,,2:53,00:00,2:53, ½Present  (No OutPunch),,
,126,MS7239,13:29:07,,,5:01,00:00,5:01,Present  (No OutPunch),,
,127,MS7396,15:35:49,,,2:55,00:00,2:55, ½Present  (No OutPunch),,
,128,MS7443,09:06:25,,,9:24,00:00,9:24,Present  (No OutPunch),,
,129,MS7734,,,,00:00,00:00,00:00,Absent,,
,130,MS7751,09:04:13,,,9:26,00:00,9:26,Present  (No OutPunch),,
,131,MS7754,,,,00:00,00:00,00:00,Absent,,
,132,MS7792,11:33:20,15:38:39,,4:05,00:00,4:05,Present ,,
,133,MS7916,09:18:31,,,9:12,00:00,9:12,Present  (No OutPunch),,
,134,MS7945,,,,00:00,00:00,00:00,Absent,,
,135,MS7980,,,,00:00,00:00,00:00,Absent,,
,136,MS8084,09:09:01,15:40:17,,6:31,00:00,6:31,Present ,,
,137,MS8256,09:05:23,,,9:25,00:00,9:25,Present  (No OutPunch),,
,138,MS8259,09:06:06,,,9:24,00:00,9:24,Present  (No OutPunch),,
,139,MS8330,11:26:28,,,7:04,00:00,7:04,Present  (No OutPunch),,
,140,MS8335,,,,00:00,00:00,00:00,Absent,,
,141,MS8500,15:42:45,,,2:48,00:00,2:48, ½Present  (No OutPunch),,
,142,MS8564,,,,00:00,00:00,00:00,Absent,,
,,,,,,,,,,,
Attendance Date			05-Oct-2025			,,,,,,,,,,,
,SNo,E. Code, InTime, OutTime,,Work Dur.,OT,Tot.  Dur.,Status,,Remarks
,1,MS3132,,,,00:00,00:00,00:00,WeeklyOff ,,
,2,MS3133,,,,00:00,00:00,00:00,WeeklyOff ,,
,3,MS3155,,,,00:00,00:00,00:00,WeeklyOff ,,
,4,MS3165,,,,00:00,00:00,00:00,WeeklyOff ,,
,5,MS3173,,,,00:00,00:00,00:00,WeeklyOff ,,
,6,MS3175,,,,00:00,00:00,00:00,WeeklyOff ,,
,7,MS3219,,,,00:00,00:00,00:00,WeeklyOff ,,
,8,MS3241,,,,00:00,00:00,00:00,WeeklyOff ,,
,9,MS3388,,,,00:00,00:00,00:00,WeeklyOff ,,
,10,MS3405,,,,00:00,00:00,00:00,WeeklyOff ,,
,11,MS3414,,,,00:00,00:00,00:00,WeeklyOff ,,
,12,MS3417,,,,00:00,00:00,00:00,WeeklyOff ,,
,13,MS3437,,,,00:00,00:00,00:00,WeeklyOff ,,
,14,MS3442,,,,00:00,00:00,00:00,WeeklyOff ,,
,15,MS3449,,,,00:00,00:00,00:00,WeeklyOff ,,
,16,MS3486,,,,00:00,00:00,00:00,WeeklyOff ,,
,17,MS3523,,,,00:00,00:00,00:00,WeeklyOff ,,
,18,MS3528,,,,00:00,00:00,00:00,WeeklyOff ,,
,19,MS3545,,,,00:00,00:00,00:00,WeeklyOff ,,
,20,MS3570,,,,00:00,00:00,00:00,WeeklyOff ,,
,21,MS3574,,,,00:00,00:00,00:00,WeeklyOff ,,
,22,MS3612,,,,00:00,00:00,00:00,WeeklyOff ,,
,23,MS3625,,,,00:00,00:00,00:00,WeeklyOff ,,
,24,MS3629,,,,00:00,00:00,00:00,WeeklyOff ,,
,25,MS3632,,,,00:00,00:00,00:00,WeeklyOff ,,
,26,MS3693,,,,00:00,00:00,00:00,WeeklyOff ,,
,27,MS3712,,,,00:00,00:00,00:00,WeeklyOff ,,
,28,MS3754,,,,00:00,00:00,00:00,WeeklyOff ,,
,29,MS3788,,,,00:00,00:00,00:00,WeeklyOff ,,
,30,MS3834,,,,00:00,00:00,00:00,WeeklyOff ,,
,31,MS3860,,,,00:00,00:00,00:00,WeeklyOff ,,
,32,MS3886,,,,00:00,00:00,00:00,WeeklyOff ,,
,33,MS3890,,,,00:00,00:00,00:00,WeeklyOff ,,
,34,MS3894,,,,00:00,00:00,00:00,WeeklyOff ,,
,35,MS3909,,,,00:00,00:00,00:00,WeeklyOff ,,
,36,MS3914,,,,00:00,00:00,00:00,WeeklyOff ,,
,37,MS3942,,,,00:00,00:00,00:00,WeeklyOff ,,
,38,MS3951,,,,00:00,00:00,00:00,WeeklyOff ,,
,39,MS3952,,,,00:00,00:00,00:00,WeeklyOff ,,
,40,MS3965,,,,00:00,00:00,00:00,WeeklyOff ,,
,41,MS3974,,,,00:00,00:00,00:00,WeeklyOff ,,
,42,MS4007,,,,00:00,00:00,00:00,WeeklyOff ,,
,43,MS4038,,,,00:00,00:00,00:00,WeeklyOff ,,
,44,MS4088,,,,00:00,00:00,00:00,WeeklyOff ,,
,45,MS4090,,,,00:00,00:00,00:00,WeeklyOff ,,
,46,MS4119,,,,00:00,00:00,00:00,WeeklyOff ,,
,47,MS4120,,,,00:00,00:00,00:00,WeeklyOff ,,
,48,MS4122,,,,00:00,00:00,00:00,WeeklyOff ,,
,49,MS4157,,,,00:00,00:00,00:00,WeeklyOff ,,
,50,MS4168,,,,00:00,00:00,00:00,WeeklyOff ,,
,51,MS4251,,,,00:00,00:00,00:00,WeeklyOff ,,
,52,MS4260,,,,00:00,00:00,00:00,WeeklyOff ,,
,53,MS4278,,,,00:00,00:00,00:00,WeeklyOff ,,
,54,MS4390,,,,00:00,00:00,00:00,WeeklyOff ,,
,55,MS4394,,,,00:00,00:00,00:00,WeeklyOff ,,
,56,MS4410,,,,00:00,00:00,00:00,WeeklyOff ,,
,57,MS4417,,,,00:00,00:00,00:00,WeeklyOff ,,
,58,MS4456,,,,00:00,00:00,00:00,WeeklyOff ,,
,59,MS4480,,,,00:00,00:00,00:00,WeeklyOff ,,
,60,MS4531,,,,00:00,00:00,00:00,WeeklyOff ,,
,61,MS4540,,,,00:00,00:00,00:00,WeeklyOff ,,
,62,MS4548,,,,00:00,00:00,00:00,WeeklyOff ,,
,63,MS4571,,,,00:00,00:00,00:00,WeeklyOff ,,
,64,MS4614,,,,00:00,00:00,00:00,WeeklyOff ,,
,65,MS4635,,,,00:00,00:00,00:00,WeeklyOff ,,
,66,MS4647,,,,00:00,00:00,00:00,WeeklyOff ,,
,67,MS4744,,,,00:00,00:00,00:00,WeeklyOff ,,
,68,MS4760,,,,00:00,00:00,00:00,WeeklyOff ,,
,69,MS4828,,,,00:00,00:00,00:00,WeeklyOff ,,
,70,MS4835,,,,00:00,00:00,00:00,WeeklyOff ,,
,71,MS4895,,,,00:00,00:00,00:00,WeeklyOff ,,
,72,MS4954,,,,00:00,00:00,00:00,WeeklyOff ,,
,73,MS4972,,,,00:00,00:00,00:00,WeeklyOff ,,
,74,MS4988,,,,00:00,00:00,00:00,WeeklyOff ,,
,75,MS4996,,,,00:00,00:00,00:00,WeeklyOff ,,
,76,MS5012,,,,00:00,00:00,00:00,WeeklyOff ,,
,77,MS5015,,,,00:00,00:00,00:00,WeeklyOff ,,
,78,MS5054,,,,00:00,00:00,00:00,WeeklyOff ,,
,79,MS5112,,,,00:00,00:00,00:00,WeeklyOff ,,
,80,MS5122,,,,00:00,00:00,00:00,WeeklyOff ,,
,81,MS5150,,,,00:00,00:00,00:00,WeeklyOff ,,
,82,MS5159,,,,00:00,00:00,00:00,WeeklyOff ,,
,83,MS5169,,,,00:00,00:00,00:00,WeeklyOff ,,
,84,MS5179,,,,00:00,00:00,00:00,WeeklyOff ,,
,85,MS5195,,,,00:00,00:00,00:00,WeeklyOff ,,
,86,MS5213,,,,00:00,00:00,00:00,WeeklyOff ,,
,87,MS5218,,,,00:00,00:00,00:00,WeeklyOff ,,
,88,MS5281,,,,00:00,00:00,00:00,WeeklyOff ,,
,89,MS5283,,,,00:00,00:00,00:00,WeeklyOff ,,
,90,MS5317,,,,00:00,00:00,00:00,WeeklyOff ,,
,91,MS5334,,,,00:00,00:00,00:00,WeeklyOff ,,
,92,MS5361,,,,00:00,00:00,00:00,WeeklyOff ,,
,93,MS5387,,,,00:00,00:00,00:00,WeeklyOff ,,
,94,MS5480,,,,00:00,00:00,00:00,WeeklyOff ,,
,95,MS5578,,,,00:00,00:00,00:00,WeeklyOff ,,
,96,MS5605,,,,00:00,00:00,00:00,WeeklyOff ,,
,97,MS5681,,,,00:00,00:00,00:00,WeeklyOff ,,
,98,MS5741,,,,00:00,00:00,00:00,WeeklyOff ,,
,99,MS5862,,,,00:00,00:00,00:00,WeeklyOff ,,
,100,MS5882,,,,00:00,00:00,00:00,WeeklyOff ,,
,101,MS5884,,,,00:00,00:00,00:00,WeeklyOff ,,
,102,MS5913,,,,00:00,00:00,00:00,WeeklyOff ,,
,103,MS5934,,,,00:00,00:00,00:00,WeeklyOff ,,
,104,MS5958,,,,00:00,00:00,00:00,WeeklyOff ,,
,105,MS6004,,,,00:00,00:00,00:00,WeeklyOff ,,
,106,MS6183,,,,00:00,00:00,00:00,WeeklyOff ,,
,107,MS6228,,,,00:00,00:00,00:00,WeeklyOff ,,
,108,MS6238,,,,00:00,00:00,00:00,WeeklyOff ,,
,109,MS6239,,,,00:00,00:00,00:00,WeeklyOff ,,
,110,MS6312,,,,00:00,00:00,00:00,WeeklyOff ,,
,111,MS6321,,,,00:00,00:00,00:00,WeeklyOff ,,
,112,MS6324,,,,00:00,00:00,00:00,WeeklyOff ,,
,113,MS6346,,,,00:00,00:00,00:00,WeeklyOff ,,
,114,MS6414,,,,00:00,00:00,00:00,WeeklyOff ,,
,115,MS6444,,,,00:00,00:00,00:00,WeeklyOff ,,
,116,MS6498,,,,00:00,00:00,00:00,WeeklyOff ,,
,117,MS6548,,,,00:00,00:00,00:00,WeeklyOff ,,
,118,MS6656,,,,00:00,00:00,00:00,WeeklyOff ,,
,119,MS6658,,,,00:00,00:00,00:00,WeeklyOff ,,
,120,MS6676,,,,00:00,00:00,00:00,WeeklyOff ,,
,121,MS6766,,,,00:00,00:00,00:00,WeeklyOff ,,
,122,MS6811,,,,00:00,00:00,00:00,WeeklyOff ,,
,123,MS6876,,,,00:00,00:00,00:00,WeeklyOff ,,
,124,MS6883,,,,00:00,00:00,00:00,WeeklyOff ,,
,125,MS7111,,,,00:00,00:00,00:00,WeeklyOff ,,
,126,MS7239,,,,00:00,00:00,00:00,WeeklyOff ,,
,127,MS7396,,,,00:00,00:00,00:00,WeeklyOff ,,
,128,MS7443,,,,00:00,00:00,00:00,WeeklyOff ,,
,129,MS7734,,,,00:00,00:00,00:00,WeeklyOff ,,
,130,MS7751,,,,00:00,00:00,00:00,WeeklyOff ,,
,131,MS7754,,,,00:00,00:00,00:00,WeeklyOff ,,
,132,MS7792,,,,00:00,00:00,00:00,WeeklyOff ,,
,133,MS7916,,,,00:00,00:00,00:00,WeeklyOff ,,
,134,MS7945,,,,00:00,00:00,00:00,WeeklyOff ,,
,135,MS7980,,,,00:00,00:00,00:00,WeeklyOff ,,
,136,MS8084,,,,00:00,00:00,00:00,WeeklyOff ,,
,137,MS8256,,,,00:00,00:00,00:00,WeeklyOff ,,
,138,MS8259,,,,00:00,00:00,00:00,WeeklyOff ,,
,139,MS8330,,,,00:00,00:00,00:00,WeeklyOff ,,
,140,MS8335,,,,00:00,00:00,00:00,WeeklyOff ,,
,141,MS8500,,,,00:00,00:00,00:00,WeeklyOff ,,
,142,MS8564,,,,00:00,00:00,00:00,WeeklyOff ,,
,,,,,,,,,,,
Attendance Date			06-Oct-2025			,,,,,,,,,,,
,SNo,E. Code, InTime, OutTime,,Work Dur.,OT,Tot.  Dur.,Status,,Remarks
,1,MS3132,10:01:25,,,8:29,00:00,8:29,Present  (No OutPunch),,
,2,MS3133,09:59:19,,,8:31,00:00,8:31,Present  (No OutPunch),,
,3,MS3155,09:58:31,15:11:49,,5:13,00:00,5:13,Present ,,
,4,MS3165,10:07:20,,,8:23,00:00,8:23,Present  (No OutPunch),,
,5,MS3173,09:49:39,14:26:52,,4:37,00:00,4:37,Present ,,
,6,MS3175,13:02:29,,,5:28,00:00,5:28,Present  (No OutPunch),,
,7,MS3219,10:05:57,,,8:25,00:00,8:25,Present  (No OutPunch),,
,8,MS3241,14:25:19,,,4:05,00:00,4:05,Present  (No OutPunch),,
,9,MS3388,09:55:22,,,8:35,00:00,8:35,Present  (No OutPunch),,
,10,MS3405,16:55:05,,,1:35,00:00,1:35,Absent (No OutPunch),,
,11,MS3414,,,,00:00,00:00,00:00,Absent,,
,12,MS3417,,,,00:00,00:00,00:00,Absent,,
,13,MS3437,10:07:14,,,8:23,00:00,8:23,Present  (No OutPunch),,
,14,MS3442,10:08:50,,,8:22,00:00,8:22,Present  (No OutPunch),,
,15,MS3449,10:05:44,,,8:25,00:00,8:25,Present  (No OutPunch),,
,16,MS3486,10:01:14,,,8:29,00:00,8:29,Present  (No OutPunch),,
,17,MS3523,,,,00:00,00:00,00:00,Absent,,
,18,MS3528,09:46:51,,,8:44,00:00,8:44,Present  (No OutPunch),,
,19,MS3545,,,,00:00,00:00,00:00,Absent,,
,20,MS3570,10:08:11,18:18:47,,8:10,00:00,8:10,Present ,,
,21,MS3574,13:18:25,17:15:33,,3:57,00:00,3:57, ½Present ,,
,22,MS3612,10:12:49,,,8:18,00:00,8:18,Present  (No OutPunch),,
,23,MS3625,10:01:24,,,8:29,00:00,8:29,Present  (No OutPunch),,
,24,MS3629,10:05:54,,,8:25,00:00,8:25,Present  (No OutPunch),,
,25,MS3632,10:05:52,18:29:16,,8:24,00:00,8:24,Present ,,
,26,MS3693,09:47:35,17:15:28,,7:28,00:00,7:28,Present ,,
,27,MS3712,09:45:30,,,8:45,00:00,8:45,Present  (No OutPunch),,
,28,MS3754,10:01:12,17:15:42,,7:14,00:00,7:14,Present ,,
,29,MS3788,10:07:13,,,8:23,00:00,8:23,Present  (No OutPunch),,
,30,MS3834,10:07:38,,,8:23,00:00,8:23,Present  (No OutPunch),,
,31,MS3860,10:12:00,,,8:18,00:00,8:18,Present  (No OutPunch),,
,32,MS3886,14:48:14,,,3:42,00:00,3:42, ½Present  (No OutPunch),,
,33,MS3890,10:01:17,,,8:29,00:00,8:29,Present  (No OutPunch),,
,34,MS3894,10:01:12,14:33:49,,4:32,00:00,4:32,Present ,,
,35,MS3909,09:49:42,,,8:41,00:00,8:41,Present  (No OutPunch),,
,36,MS3914,10:01:21,,,8:29,00:00,8:29,Present  (No OutPunch),,
,37,MS3942,,,,00:00,00:00,00:00,Absent,,
,38,MS3951,14:34:12,,,3:56,00:00,3:56, ½Present  (No OutPunch),,
,39,MS3952,10:05:44,,,8:25,00:00,8:25,Present  (No OutPunch),,
,40,MS3965,10:04:38,14:23:18,,4:19,00:00,4:19,Present ,,
,41,MS3974,10:01:21,,,8:29,00:00,8:29,Present  (No OutPunch),,
,42,MS4007,10:03:55,,,8:27,00:00,8:27,Present  (No OutPunch),,
,43,MS4038,10:06:02,,,8:24,00:00,8:24,Present  (No OutPunch),,
,44,MS4088,14:35:36,,,3:55,00:00,3:55, ½Present  (No OutPunch),,
,45,MS4090,,,,00:00,00:00,00:00,Absent,,
,46,MS4119,10:01:48,,,8:29,00:00,8:29,Present  (No OutPunch),,
,47,MS4120,10:04:44,16:24:27,,6:20,00:00,6:20,Present ,,
,48,MS4122,10:44:22,14:33:51,,3:49,00:00,3:49, ½Present ,,
,49,MS4157,10:02:49,,,8:28,00:00,8:28,Present  (No OutPunch),,
,50,MS4168,10:01:19,,,8:29,00:00,8:29,Present  (No OutPunch),,
,51,MS4251,10:06:08,,,8:24,00:00,8:24,Present  (No OutPunch),,
