Attendance Date			01-Oct-2025,SNo,E. Code, InTime, OutTime,,Work Dur.,OT,Tot.  Dur.,Status,,Remarks
,81,MS5150,08:54:54,18:48:20,,9:00,00:54,9:54,Present ,,
,82,MS5159,11:45:09,14:35:42,,2:50,00:00,2:50, ½Present ,,
,83,MS5169,09:12:23,18:32:38,,9:20,00:00,9:20,Present ,,
,84,MS5179,09:08:12,18:54:15,,9:00,00:46,9:46,Present ,,
,85,MS5195,,,,00:00,00:00,00:00,Absent,,
,86,MS5213,13:53:08,18:23:01,,4:30,00:00,4:30,Present ,,
,87,MS5218,08:59:02,,,9:00,00:31,9:31,Present  (No OutPunch),,
,88,MS5281,14:42:17,,,3:48,00:00,3:48, ½Present  (No OutPunch),,
,89,MS5283,09:09:36,18:41:59,,9:00,00:32,9:32,Present ,,
,90,MS5317,08:59:09,14:42:29,,5:43,00:00,5:43,Present ,,
,91,MS5334,09:19:19,18:32:08,,9:13,00:00,9:13,Present ,,
,92,MS5361,11:30:39,,,7:00,00:00,7:00,Present  (No OutPunch),,
,93,MS5387,11:34:56,,,6:56,00:00,6:56,Present  (No OutPunch),,
,94,MS5480,,,,00:00,00:00,00:00,Absent,,
,95,MS5578,08:52:41,18:46:55,,9:00,00:54,9:54,Present ,,
,96,MS5605,08:56:13,18:30:21,,9:00,00:34,9:34,Present ,,
,97,MS5681,11:27:56,18:53:36,,7:26,00:00,7:26,Present ,,
,98,MS5741,09:02:12,,,9:28,00:00,9:28,Present  (No OutPunch),,
,99,MS5862,09:05:41,14:30:07,,5:25,00:00,5:25,Present ,,
,100,MS5882,11:45:53,18:28:35,,6:43,00:00,6:43,Present ,,
,101,MS5884,11:34:45,18:45:22,,7:11,00:00,7:11,Present ,,
,102,MS5913,11:37:34,18:30:55,,6:53,00:00,6:53,Present ,,
,103,MS5934,09:12:30,,,9:18,00:00,9:18,Present  (No OutPunch),,
,104,MS5958,09:00:25,18:45:12,,9:00,00:45,9:45,Present ,,
,105,MS6004,08:53:28,14:39:09,,5:46,00:00,5:46,Present ,,
,106,MS6183,09:20:39,13:38:37,,4:18,00:00,4:18,Present ,,
,107,MS6228,09:05:31,18:51:09,,9:00,00:46,9:46,Present ,,
,108,MS6238,11:38:09,18:49:59,,7:11,00:00,7:11,Present ,,
,109,MS6239,08:58:00,18:48:27,,9:00,00:50,9:50,Present ,,
,110,MS6312,08:54:25,18:57:46,,9:00,1:03,10:03,Present ,,
,111,MS6321,09:16:28,14:27:37,,5:11,00:00,5:11,Present ,,
,112,MS6324,08:53:26,18:46:24,,9:00,00:53,9:53,Present ,,
,113,MS6346,11:35:04,,,6:55,00:00,6:55,Present  (No OutPunch),,
,114,MS6414,08:55:05,19:13:22,,9:00,1:18,10:18,Present ,,
,115,MS6444,,,,00:00,00:00,00:00,Absent,,
,116,MS6498,11:34:09,,,6:56,00:00,6:56,Present  (No OutPunch),,
,117,MS6548,09:12:25,,,9:18,00:00,9:18,Present  (No OutPunch),,
,118,MS6656,09:16:17,18:41:52,,9:25,00:00,9:25,Present ,,
,119,MS6658,08:59:23,,,9:00,00:31,9:31,Present  (No OutPunch),,
,120,MS6676,10:09:25,18:30:25,,8:21,00:00,8:21,Present ,,
,121,MS6766,09:06:00,19:13:27,,9:00,1:07,10:07,Present ,,
,122,MS6811,,,,00:00,00:00,00:00,Absent,,
,123,MS6876,08:53:57,14:38:40,,5:45,00:00,5:45,Present ,,
,124,MS6883,09:00:32,14:45:45,,5:45,00:00,5:45,Present ,,
,125,MS7111,11:34:17,19:05:30,,7:31,00:00,7:31,Present ,,
,126,MS7239,09:00:29,14:45:54,,5:45,00:00,5:45,Present ,,
,127,MS7396,11:28:01,15:48:00,,4:20,00:00,4:20,Present ,,
,128,MS7443,09:06:05,,,9:24,00:00,9:24,Present  (No OutPunch),,
,129,MS7734,14:32:15,,,3:58,00:00,3:58, ½Present  (No OutPunch),,
,130,MS7751,11:38:22,,,6:52,00:00,6:52,Present  (No OutPunch),,
,131,MS7754,09:00:20,14:40:04,,5:40,00:00,5:40,Present ,,
,132,MS7792,09:10:16,20:19:28,,9:00,2:09,11:09,Present ,,
,133,MS7916,09:00:58,14:35:45,,5:35,00:00,5:35,Present ,,
,134,MS7945,13:53:02,,,4:37,00:00,4:37,Present  (No OutPunch),,
,135,MS7980,11:42:52,,,6:48,00:00,6:48,Present  (No OutPunch),,
,136,MS8084,11:42:16,14:37:40,,2:55,00:00,2:55, ½Present ,,
,137,MS8256,,,,00:00,00:00,00:00,Absent,,
,138,MS8259,09:19:08,,,9:11,00:00,9:11,Present  (No OutPunch),,
,139,MS8330,08:56:52,14:55:20,,5:59,00:00,5:59,Present ,,
,140,MS8335,09:05:57,,,9:25,00:00,9:25,Present  (No OutPunch),,
,141,MS8500,10:09:42,14:39:37,,4:30,00:00,4:30,Present ,,
,142,MS8564,09:06:48,13:45:30,,4:39,00:00,4:39,Present ,,
,,,,,,,,,,,
Attendance Date			02-Oct-2025			,,,,,,,,,,,
,SNo,E. Code, InTime, OutTime,,Work Dur.,OT,Tot.  Dur.,Status,,Remarks
,1,MS3132,,,,00:00,00:00,00:00,Absent,,
,2,MS3133,,,,00:00,00:00,00:00,Absent,,
,3,MS3155,,,,00:00,00:00,00:00,Absent,,
,4,MS3165,,,,00:00,00:00,00:00,Absent,,
,5,MS3173,,,,00:00,00:00,00:00,Absent,,
,6,MS3175,,,,00:00,00:00,00:00,Absent,,
,7,MS3219,,,,00:00,00:00,00:00,Absent,,
,8,MS3241,,,,00:00,00:00,00:00,Absent,,
,9,MS3388,,,,00:00,00:00,00:00,Absent,,
,10,MS3405,,,,00:00,00:00,00:00,Absent,,
,11,MS3414,,,,00:00,00:00,00:00,Absent,,
,12,MS3417,,,,00:00,00:00,00:00,Absent,,
,13,MS3437,,,,00:00,00:00,00:00,Absent,,
,14,MS3442,,,,00:00,00:00,00:00,Absent,,
,15,MS3449,,,,00:00,00:00,00:00,Absent,,
,16,MS3486,,,,00:00,00:00,00:00,Absent,,
,17,MS3523,,,,00:00,00:00,00:00,Absent,,
,18,MS3528,,,,00:00,00:00,00:00,Absent,,
,19,MS3545,,,,00:00,00:00,00:00,Absent,,
,20,MS3570,,,,00:00,00:00,00:00,Absent,,
,21,MS3574,,,,00:00,00:00,00:00,Absent,,
,22,MS3612,,,,00:00,00:00,00:00,Absent,,
,23,MS3625,,,,00:00,00:00,00:00,Absent,,
,24,MS3629,,,,00:00,00:00,00:00,Absent,,
,25,MS3632,,,,00:00,00:00,00:00,Absent,,
,26,MS3693,,,,00:00,00:00,00:00,Absent,,
,27,MS3712,,,,00:00,00:00,00:00,Absent,,
,28,MS3754,,,,00:00,00:00,00:00,Absent,,
,29,MS3788,,,,00:00,00:00,00:00,Absent,,
,30,MS3834,,,,00:00,00:00,00:00,Absent,,
,31,MS3860,,,,00:00,00:00,00:00,Absent,,
,32,MS3886,,,,00:00,00:00,00:00,Absent,,
,33,MS3890,,,,00:00,00:00,00:00,Absent,,
,34,MS3894,,,,00:00,00:00,00:00,Absent,,
,35,MS3909,,,,00:00,00:00,00:00,Absent,,
,36,MS3914,,,,00:00,00:00,00:00,Absent,,
,37,MS3942,,,,00:00,00:00,00:00,Absent,,
,38,MS3951,,,,00:00,00:00,00:00,Absent,,
,39,MS3952,,,,00:00,00:00,00:00,Absent,,
,40,MS3965,,,,00:00,00:00,00:00,Absent,,
,41,MS3974,,,,00:00,00:00,00:00,Absent,,
,42,MS4007,,,,00:00,00:00,00:00,Absent,,
,43,MS4038,,,,00:00,00:00,00:00,Absent,,
,44,MS4088,,,,00:00,00:00,00:00,Absent,,
,45,MS4090,,,,00:00,00:00,00:00,Absent,,
,46,MS4119,,,,00:00,00:00,00:00,Absent,,
,47,MS4120,,,,00:00,00:00,00:00,Absent,,
,48,MS4122,,,,00:00,00:00,00:00,Absent,,
,49,MS4157,,,,00:00,00:00,00:00,Absent,,
,50,MS4168,,,,00:00,00:00,00:00,Absent,,
,51,MS4251,,,,00:00,00:00,00:00,Absent,,
,52,MS4260,,,,00:00,00:00,00:00,Absent,,
,53,MS4278,,,,00:00,00:00,00:00,Absent,,
,54,MS4390,,,,00:00,00:00,00:00,Absent,,
,55,MS4394,,,,00:00,00:00,00:00,Absent,,
,56,MS4410,,,,00:00,00:00,00:00,Absent,,
,57,MS4417,,,,00:00,00:00,00:00,Absent,,
,58,MS4456,,,,00:00,00:00,00:00,Absent,,
,59,MS4480,,,,00:00,00:00,00:00,Absent,,
,60,MS4531,,,,00:00,00:00,00:00,Absent,,
,61,MS4540,,,,00:00,00:00,00:00,Absent,,
,62,MS4548,,,,00:00,00:00,00:00,Absent,,
,63,MS4571,,,,00:00,00:00,00:00,Absent,,
,64,MS4614,,,,00:00,00:00,00:00,Absent,,
,65,MS4635,,,,00:00,00:00,00:00,Absent,,
,66,MS4647,,,,00:00,00:00,00:00,Absent,,
,67,MS4744,,,,00:00,00:00,00:00,Absent,,
,68,MS4760,,,,00:00,00:00,00:00,Absent,,
,69,MS4828,,,,00:00,00:00,00:00,Absent,,
,70,MS4835,,,,00:00,00:00,00:00,Absent,,
,71,MS4895,,,,00:00,00:00,00:00,Absent,,
,72,MS4954,,,,00:00,00:00,00:00,Absent,,
,73,MS4972,,,,00:00,00:00,00:00,Absent,,
,74,MS4988,,,,00:00,00:00,00:00,Absent,,
,75,MS4996,,,,00:00,00:00,00:00,Absent,,
,76,MS5012,,,,00:00,00:00,00:00,Absent,,
,77,MS5015,,,,00:00,00:00,00:00,Absent,,
,78,MS5054,,,,00:00,00:00,00:00,Absent,,
,79,MS5112,,,,00:00,00:00,00:00,Absent,,
,80,MS5122,,,,00:00,00:00,00:00,Absent,,
,81,MS5150,,,,00:00,00:00,00:00,Absent,,
,82,MS5159,,,,00:00,00:00,00:00,Absent,,
,83,MS5169,,,,00:00,00:00,00:00,Absent,,
,84,MS5179,,,,00:00,00:00,00:00,Absent,,
,85,MS5195,,,,00:00,00:00,00:00,Absent,,
,86,MS5213,,,,00:00,00:00,00:00,Absent,,
,87,MS5218,,,,00:00,00:00,00:00,Absent,,
,88,MS5281,,,,00:00,00:00,00:00,Absent,,
,89,MS5283,,,,00:00,00:00,00:00,Absent,,
,90,MS5317,,,,00:00,00:00,00:00,Absent,,
,91,MS5334,,,,00:00,00:00,00:00,Absent,,
,92,MS5361,,,,00:00,00:00,00:00,Absent,,
,93,MS5387,,,,00:00,00:00,00:00,Absent,,
,94,MS5480,,,,00:00,00:00,00:00,Absent,,
,95,MS5578,,,,00:00,00:00,00:00,Absent,,
,96,MS5605,,,,00:00,00:00,00:00,Absent,,
,97,MS5681,,,,00:00,00:00,00:00,Absent,,
,98,MS5741,,,,00:00,00:00,00:00,Absent,,
,99,MS5862,,,,00:00,00:00,00:00,Absent,,
,100,MS5882,,,,00:00,00:00,00:00,Absent,,
,101,MS5884,,,,00:00,00:00,00:00,Absent,,
,102,MS5913,,,,00:00,00:00,00:00,Absent,,
,103,MS5934,,,,00:00,00:00,00:00,Absent,,
,104,MS5958,,,,00:00,00:00,00:00,Absent,,
,105,MS6004,,,,00:00,00:00,00:00,Absent,,
,106,MS6183,,,,00:00,00:00,00:00,Absent,,
,107,MS6228,,,,00:00,00:00,00:00,Absent,,
,108,MS6238,,,,00:00,00:00,00:00,Absent,,
,109,MS6239,,,,00:00,00:00,00:00,Absent,,
,110,MS6312,,,,00:00,00:00,00:00,Absent,,
